date,obspcp,calibpcp,gcmpcp
1961/11/1,0,0.025561771,0.021468657
1961/11/2,0,0.052509023,0.041560088
1961/11/3,0.2,0.033778608,0.018834221
1961/11/4,0,0.029063449,0.028468436
1961/11/5,0,0.033382388,0.041712197
1961/11/6,0,0.064433974,0.033056684
1961/11/7,0,0.052048738,0.047195455
1961/11/8,1,0.064543682,0.033154085
1961/11/9,0,0.031296791,0.025597902
1961/11/10,0.3,0.036671059,0.037547713
1961/11/11,0,0.031934254,0.047376602
1961/11/12,0,0.028088465,0.02784443
1961/11/13,0,0.061530773,0.026004102
1961/11/14,0,0.018889547,0.02634828
1961/11/15,0,0.055047452,0.05106289
1961/11/16,0,0.062248572,0.057745321
1961/11/17,0.3,0.050418535,0.03828231
1961/11/18,0,0.047386997,0.039366139
1961/11/19,0,0.038229383,0.021262325
1961/11/20,0,0.043527508,0.041479955
1961/11/21,0.1,0.019277554,0.039828957
1961/11/22,0,0.060800465,0.038583304
1961/11/23,0.6,0.026620598,0.026493326
1961/11/24,2.2,0.047687553,0.027896923
1961/11/25,0,0.037007876,0.028616199
1961/11/26,0,0.037208116,0.05402037
1961/11/27,0,0.03388098,0.034926498
1961/11/28,0.1,0.029053232,0.054089883
1961/11/29,0,0.050197166,0.057693428
1961/11/30,0.2,0.049193783,0.024688593
1961/12/1,0,0.019114019,0.013209979
1961/12/2,0,0.024233675,0.016945532
1961/12/3,0,0.020791007,0.028474877
1961/12/4,0,0.042007675,0.033130363
1961/12/5,0,0.038018414,0.036687458
1961/12/6,0,0.026290697,0.029654153
1961/12/7,0,0.039322388,0.015700648
1961/12/8,0.6,0.047513174,0.035235503
1961/12/9,0,0.026753488,0.025683393
1961/12/10,0,0.028526281,0.051052076
1961/12/11,0.1,0.033907793,0.00896332
1961/12/12,0.1,0.033398246,0.02645943
1961/12/13,0.3,0.033257809,0.044948177
1961/12/14,0,0.027312818,0.03673751
1961/12/15,0,0.048045808,0.016673507
1961/12/16,0,0.029363964,0.017558746
1961/12/17,0,0.020024839,0.011542809
1961/12/18,0,0.042970139,0.033728248
1961/12/19,1.4,0.027351188,0.020566575
1961/12/20,0,0.019597135,0.025340289
1961/12/21,0,0.024167542,0.032398901
1961/12/22,0,0.03689458,0.018191692
1961/12/23,0,0.018669732,0.041985553
1961/12/24,0,0.023629127,0.013906352
1961/12/25,0,0.033172314,0.026925573
1961/12/26,0,0.020253088,0.021499301
1961/12/27,0,0.048765801,0.024096457
1961/12/28,0,0.029376476,0.019478146
1961/12/29,0,0.039804839,0.014970548
1961/12/30,0,0.015659944,0.024523701
1961/12/31,0,0.028033863,0.022472104
1962/1/1,0,0.041488699,0.049072661
1962/1/2,0,0.039930014,0.046746249
1962/1/3,0,0.078181683,0.052208812
1962/1/4,0,0.064918237,0.050696123
1962/1/5,0,0.046076954,0.053457069
1962/1/6,0.6,0.074299131,0.048420543
1962/1/7,0,0.034676377,0.071349958
1962/1/8,0,0.035717096,0.064508109
1962/1/9,0,0.075980858,0.057956155
1962/1/10,0,0.038395989,0.033149023
1962/1/11,0,0.057519536,0.05971977
1962/1/12,0,0.050380375,0.03847704
1962/1/13,0,0.056626392,0.074554401
1962/1/14,0,0.051554751,0.039354864
1962/1/15,0,0.054071138,0.036055189
1962/1/16,0,0.075033677,0.05361535
1962/1/17,0,0.030707694,0.05280109
1962/1/18,0,0.058278238,0.047516764
1962/1/19,0,0.032109762,0.047844392
1962/1/20,0,0.06199699,0.061785934
1962/1/21,0,0.035495274,0.059176602
1962/1/22,0,0.054890319,0.062892668
1962/1/23,0.8,0.050171653,0.042189957
1962/1/24,0,0.047075058,0.046428457
1962/1/25,0,0.052311021,0.067040706
1962/1/26,0,0.024813733,0.046447751
1962/1/27,0,0.059147285,0.071232051
1962/1/28,4.3,0.024595174,0.039606896
1962/1/29,0,0.052791658,0.043136748
1962/1/30,0,0.04883615,0.048512411
1962/1/31,0,0.036323804,0.052110186
1962/2/1,0,0.051578966,0.066301348
