date,obspcp,calibpcp,gcmpcp
1961/12/8,0.6,0.09948,0.06284
1961/12/9,0,0.11776,0.08288
1961/12/10,0,0.13459,0.07067
1961/12/11,0.1,0.23921,0.09752
1961/12/12,0.1,0.11449,0.0537
1961/12/13,0.3,0.20581,0.05719
1961/12/14,0,0.18469,0.06781
1961/12/15,0,0.14029,0.01245
1961/12/16,0,0.2194,0.07019
1961/12/17,0,0.13277,0.05146
1961/12/18,0,0.24589,0.02709
1961/12/19,1.4,0.08722,0
1961/12/20,0,0.08428,0.0003
1961/12/21,0,0.0797,0.18518
1961/12/22,0,0.13364,0.1548
1961/12/23,0,0.07602,0.13102
1961/12/24,0,0.12147,0.01594
1961/12/25,0,0.15585,0.01538
1961/12/26,0,0.25157,0.03951
1961/12/27,0,0.20606,0.09985
1961/12/28,0,0.18081,0.03112
1961/12/29,0,0.05553,0
1961/12/30,0,0.03422,0.03217
1961/12/31,0,0.08062,0.01596
1962/1/1,0,0.26829,0.15704
1962/1/2,0,0.2159,0.07921
1962/1/3,0,0.20001,0.0705
1962/1/4,0,0.12734,0.11773
1962/1/5,0,0.10638,0.08894
1962/1/6,0.6,0.14836,0.15311
1962/1/7,0,0.14043,0.04834
1962/1/8,0,0.16776,0.03177
1962/1/9,0,0.05754,0.16581
1962/1/10,0,0.06691,0.17872
1962/1/11,0,0.08827,0.19413
1962/1/12,0,0.08657,0.06227
1962/1/13,0,0.16902,0.15857
1962/1/14,0,0.14294,0.04143
1962/1/15,0,0.07624,0.14927
1962/1/16,0,0.12718,0.08993
1962/1/17,0,0.22122,0.07359
1962/1/18,0,0.12182,0.22955
1962/1/19,0,0.17822,0.07006
1962/1/20,0,0.05764,0.03604
1962/1/21,0,0.14694,0.14842
1962/1/22,0,0.18891,0.10888
1962/1/23,0.8,0.11432,0.09857
1962/1/24,0,0.1056,0.09404
1962/1/25,0,0.17197,0.05915
1962/1/26,0,0.18797,0.11313
1962/1/27,0,0.18027,0.0813
1962/1/28,4.3,0.19622,0.1059
1962/1/29,0,0.12982,0.17379
1962/1/30,0,0.1702,0.11347
1962/1/31,0,0.1802,0.06256
1962/2/1,0,0.1212,0.1537
1962/2/2,0,0.12193,0.12309
1962/2/3,0,0.03842,0.18973
1962/2/4,0,0.11553,0.1137
1962/2/5,0,0.1969,0.15488
1962/2/6,0,0.17358,0.13878
1962/2/7,0,0.17775,0.25446
1962/2/8,0,0.10941,0.21353
1962/2/9,0.6,0.18193,0.17056
1962/2/10,1.1,0.24025,0.16908
1962/2/11,0,0.11636,0.12608
1962/2/12,0,0.06546,0.19644
1962/2/13,0,0.10307,0.14111
1962/2/14,0.2,0.09556,0.15548
1962/2/15,0,0.14235,0.18942
1962/2/16,0.6,0.09255,0.12148
1962/2/17,0.2,0.13256,0.12791
1962/2/18,0,0.17262,0.13635
1962/2/19,0.8,0.11884,0.09974
1962/2/20,1.1,0.08148,0.24701
1962/2/21,0.1,0.21057,0.14219
1962/2/22,0.2,0.07299,0.16964
1962/2/23,0,0.19352,0.18702
1962/2/24,0,0.31824,0.23883
1962/2/25,0,0.29375,0.08662
1962/2/26,0.3,0.0868,0.09015
1962/2/27,0,0.18116,0.09225
1962/2/28,0,0.39201,0.2265
1962/3/1,0,0.16669,0.25381
1962/3/2,0,0.34814,0.1242
1962/3/3,1.3,0.22288,0.10309
1962/3/4,0,0.35627,0.09671
1962/3/5,0.6,0.2647,0.14011
1962/3/6,1.4,0.33745,0.10644
1962/3/7,0.3,0.27474,0.16804
1962/3/8,0.8,0.31099,0.14336
1962/3/9,0,0.32891,0.09979
1962/3/10,0,0.25296,0.27928
1962/3/11,0,0.25373,0.14253
1962/3/12,0,0.39515,0.0956
1962/3/13,0,0.46582,0.13448
1962/3/14,0,0.31914,0.11376
1962/3/15,0,0.20924,0.09699
1962/3/16,0.6,0.2866,0.2035
1962/3/17,0,0.30438,0.26135
1962/3/18,0,0.26901,0.11383
1962/3/19,0,0.31626,0.23466
1962/3/20,0,0.28318,0.10866
1962/3/21,0,0.18315,0.28743
1962/3/22,0,0.27956,0.29386
1962/3/23,0,0.29488,0.18664
1962/3/24,0.2,0.2726,0.05868
1962/3/25,0.2,0.15214,0.13808
1962/3/26,0,0.23713,0.10958
1962/3/27,0,0.55445,0.10931
1962/3/28,0,0.47468,0.2589
1962/3/29,0,0.38602,0.30013
1962/3/30,0,0.32953,0.26848
1962/3/31,0,0.14959,0.17636
1962/4/1,0,0.51479,0.25175
1962/4/2,0,0.45312,0.43557
1962/4/3,0.1,0.64377,0.53557
1962/4/4,0.2,0.48467,0.56301
1962/4/5,0,0.38774,0.57012
1962/4/6,0.1,0.50805,0.4183
1962/4/7,0.5,0.4448,0.72668
1962/4/8,0,0.3673,0.44152
1962/4/9,0,0.37565,0.31533
1962/4/10,0,0.33022,0.62723
1962/4/11,0,0.33192,0.38151
1962/4/12,0,0.49456,0.43037
1962/4/13,0,0.43872,0.4437
1962/4/14,0,0.43568,0.67966
1962/4/15,0,0.52774,0.38737
1962/4/16,0,0.6929,0.2688
1962/4/17,0.1,0.67047,0.32654
1962/4/18,2.1,0.48807,0.4282
1962/4/19,0.3,0.48727,0.37395
1962/4/20,0,0.50233,0.5467
1962/4/21,0,0.43147,0.4528
1962/4/22,0,0.44357,0.36048
1962/4/23,0,0.44356,0.35024
